Sample Time,Memory Usage,
10:47:5:217,38788096,
10:47:5:220,38788096,
10:47:5:223,39457944,
10:47:5:227,39457944,
10:47:5:231,39457944,
10:47:5:235,39457944,
10:47:5:239,40127760,
10:47:5:242,40127760,
10:47:5:246,40127760,
10:47:5:249,40797664,
10:47:5:253,40797664,
10:47:5:257,40797664,
10:47:5:260,40797664,
10:47:5:263,40797664,
10:47:5:267,41475632,
10:47:5:271,41475632,
10:47:5:274,41475632,
10:47:5:279,41475632,
10:47:5:282,41475632,
10:47:5:286,41475632,
10:47:5:290,41475632,
10:47:5:294,42145416,
10:47:5:298,42145416,
10:47:5:301,42145416,
10:47:5:305,42145416,
10:47:5:309,42815240,
10:47:5:313,42815240,
10:47:5:317,42815240,
10:47:5:321,42815240,
10:47:5:324,42815
