Sample Time,Memory Usage,
10:45:25:271,32615928,
10:45:25:276,32615928,
10:45:25:280,32615928,
10:45:25:284,32615928,
10:45:25:288,33951456,
10:45:25:292,33951456,
10:45:25:296,33951456,
10:45:25:300,33951456,
10:45:25:305,33951456,
10:45:25:308,33951456,
10:45:25:313,33951456,
10:45:25:316,33951456,
10:45:25:320,33951456,
10:45:25:324,33951456,
10:45:25:329,33951456,
10:45:25:332,33951456,
10:45:25:337,33951456,
10:45:25:340,33951456,
10:45:25:347,35287336,
10:45:25:351,35287336,
10:45:25:355,35287336,
10:45:25:360,35287336,
10:45:25:364,35287336,
10:45:25:369,35287336,
10:45:25:372,35287336,
10:45:25:376,35287336,
10:45:25:379,35287336,
10:45:25:383,35287336,
10:45:25:387,35287336,
10:45:25:390,35287336,
10:45:25:394,35287336,
10:45:25:398,36622872,
10:45:25:401,36622872,
10:45:25:404,36622872,
10:45:25:408,36622872,
10:45:25:412,36622872,
10:45:25:416,36622872,
10:45:25:419,
